"""Ville_annee"" ";"""M00""";"""M25""";"""M50""";"""M75""";"""F00""";"""F25""";"""F50""";"""F75"""
"""Montreal_66""";67;44;22;7;73;51;28;9
"""Toronto_66""";68;45;23;8;75;53;29;10
"""Vancouver_66""";68;46;23;8;75;53;30;11
"""Kaohsiung_66""";66;43;22;8;71;49;26;9
"""Taipei_66""";69;46;24;8;72;50;27;9
"""Djakarta_61""";44;36;18;6;46;37;19;6
"""Copenhagen_66""";68;46;23;8;75;56;28;9
"""Helsinki_66""";66;42;21;7;73;50;27;8
"""East Berlin_61""";66;45;22;7;71;49;27;8
"""West Berlin_61""";66;45;22;7;72;50;27;9
"""West Berlin_67""";67;45;22;7;73;50;27;9
"""Dusseldorf_66""";67;45;22;8;74;51;28;9
"""Hamburg_66""";68;46;23;7;74;51;27;9
"""Stockholm_60""";69;46;23;7;75;52;28;9
"""London_67""";69;47;23;8;77;54;30;12
"""Sydney_67""";67;44;22;7;73;50;27;9
