World Rank;Institution;Region;Regional Rank;Country;National Rank;Score on Alumni;Score on Award;Score on HiCi;Score on N&S;Score on SCI;Score on Size;Total Score
1;Harvard Univ;Americas;1;USA;1;100;100;100;100;100;73;100
2;Stanford Univ;Americas;2;USA;2;42;78,7;86,1;69,6;70,3;65,7;73,7
3;Univ California - Berkeley;Americas;3;USA;3;72,5;77,1;67,9;72,9;69,2;52,6;71,9
4;Univ Cambridge;Europe;1;UK;1;93,6;91,5;54;58,2;65,4;65,1;71,6
5;Massachusetts Inst Tech (MIT);Americas;4;USA;4;74,6;80,6;65,9;68,4;61,7;53,4;70
6;California Inst Tech;Americas;5;USA;5;55,5;69,1;58,4;67,6;50,3;100;66,4
7;Columbia Univ;Americas;6;USA;6;76;65,7;56,5;54,3;69,6;46,4;63,2
8;Princeton Univ;Americas;7;USA;7;62,3;80,4;59,3;42,9;46,5;58,9;59,5
9;Univ Chicago;Americas;8;USA;8;70,8;80,2;50,8;42,8;54,1;41,3;58,4
10;Univ Oxford;Europe;2;UK;2;60,3;57,9;46,3;52,3;65,4;44,7;56,4
11;Yale Univ;Americas;9;USA;9;50,9;43,6;57,9;57,2;63,2;48,9;55,9
12;Cornell Univ;Americas;10;USA;10;43,6;51,3;54,5;51,4;65,1;39,9;54,3
13;Univ California - Los Angeles;Americas;11;USA;11;25,6;42,8;57,4;49,1;75,9;35,5;52,6
14;Univ California - San Diego;Americas;12;USA;12;16,6;34;59,3;55,5;64,6;46,6;50,4
15;Univ Pennsylvania;Americas;13;USA;13;33,3;34,4;56,9;40,3;70,8;38,7;49
16;Univ Washington - Seattle;Americas;14;USA;14;27;31,8;52,4;49;74,1;27,4;48,2
17;Univ Wisconsin - Madison;Americas;15;USA;15;40,3;35,5;52,9;43,1;67,2;28,6;48
18;Univ California - San Francisco;Americas;16;USA;16;0;36,8;54;53,7;59,8;46,7;46,8
19;Johns Hopkins Univ;Americas;17;USA;17;48,1;27,8;41,3;50,9;67,9;24,7;46,1
20;Tokyo Univ;Asia/Pac;1;Japan;1;33,8;14,1;41,9;52,7;80,9;34;45,9
21;Univ Michigan - Ann Arbor;Americas;18;USA;18;40,3;0;60,7;40,8;77,1;30,7;44
22;Kyoto Univ;Asia/Pac;2;Japan;2;37,2;33,4;38,5;35,1;68,6;30,6;43,1
23;Imperial Coll London;Europe;3;UK;3;19,5;37,4;40,6;39,7;62,2;39,4;43
23;Univ Toronto;Americas;19;Canada;1;26,3;19,3;39,2;37,7;77,6;44,4;43
25;Univ Coll London;Europe;4;UK;4;28,8;32,2;38,5;42,9;63,2;33,8;42,8
26;Univ Illinois - Urbana Champaign;Americas;20;USA;19;39;36,6;44,5;36,4;57,6;26,2;42,7
27;Swiss Fed Inst Tech - Zurich;Europe;5;Switzerland;1;37,7;36,3;35,5;39,9;38,4;50,5;39,9
28;Washington Univ - St. Louis;Americas;21;USA;20;23,5;26;39,2;43,2;53,4;39,3;39,7
29;Northwestern Univ;Americas;22;USA;21;20,4;18,9;46,9;34,2;57;36,9;38,2
30;New York Univ;Americas;23;USA;22;35,8;24,5;41,3;34,4;53,9;25,9;38
30;Rockefeller Univ;Americas;23;USA;22;21,2;58,6;27,7;45,6;23,2;37,8;38
32;Duke Univ;Americas;25;USA;24;19,5;0;46,9;43,6;62;39,2;37,4
33;Univ Minnesota - Twin Cities;Americas;26;USA;25;33,8;0;48,6;35,9;67;23,5;37
34;Univ Colorado - Boulder;Americas;27;USA;26;15,6;30,8;39,9;38,8;45,7;30;36,6
35;Univ California - Santa Barbara;Americas;28;USA;27;0;35,3;42,6;36,2;42,7;35,1;35,8
36;Univ British Columbia;Americas;29;Canada;2;19,5;18,9;31,4;31;63,1;36,3;35,4
37;Univ Maryland - Coll Park;Americas;30;USA;28;24,3;20;40,6;31,2;53,3;25,9;35
38;Univ Texas - Austin;Americas;31;USA;29;20,4;16,7;46,9;28;54,8;21,3;34,4
39;Univ Paris 06;Europe;6;France;1;38,4;23,6;23,4;27,2;54,2;33,5;33,8
39;Univ Texas Southwestern Med Center;Americas;32;USA;30;22,8;33,2;30,6;35,5;38;31,9;33,8
41;Vanderbilt Univ;Americas;33;USA;31;19,5;29,6;31,4;23,8;51;36;33,6
42;Univ Utrecht;Europe;7;Netherlands;1;28,8;20,9;27,7;29,9;56,6;26,6;33,5
43;Pennsylvania State Univ - Univ Park;Americas;34;USA;32;13,2;0;45,1;37,7;58;23,7;32,7
43;Univ California - Davis;Americas;34;USA;32;0;0;46,9;33,1;64,2;30;32,7
45;Univ California - Irvine;Americas;36;USA;34;0;29,4;35,5;28;48,9;32,1;32,5
46;Univ Copenhagen;Europe;8;Denmark;1;28,8;24,2;25,7;25,2;51,4;31,7;32,2
47;Rutgers State Univ - New Brunswick;Americas;37;USA;35;14,4;20;39,9;32,1;44,8;24,2;32,1
48;Univ Manchester;Europe;9;UK;5;25,6;18,9;24,6;28,3;56,9;28,4;32
49;Univ Pittsburgh - Pittsburgh;Americas;38;USA;36;23,5;0;39,9;23,6;65,6;28,5;31,9
50;Univ Southern California;Americas;39;USA;37;0;26,8;37,1;23,4;52,7;25,9;31,4
