Type;Economy;Service;Value;Price;Design;Sport;Safety;Easy Handling
Audi;3.9;2.8;2.2;4.2;3.0;3.1;2.4;2.8
BMW;4.8;1.6;1.9;5.0;2.0;2.5;1.6;2.8
Citroen;3.0;3.8;3.8;2.7;4.0;4.4;4.0;2.6
Ferrari;5.3;2.9;2.2;5.9;1.7;1.1;3.3;4.3
Fiat;2.1;3.9;4.0;2.6;4.5;4.4;4.4;2.2
Ford;2.3;3.1;3.4;2.6;3.2;3.3;3.6;2.8
Hyundai;2.5;3.4;3.2;2.2;3.3;3.3;3.3;2.4
Jaguar;4.6;2.4;1.6;5.5;1.3;1.6;2.8;3.6
Lada;3.2;3.9;4.3;2.0;4.3;4.5;4.7;2.9
Mazda;2.6;3.3;3.7;2.8;3.7;3.0;3.7;3.1
Mercedes;4.1;1.7;1.8;4.6;2.4;3.2;1.4;2.4
Mitsubishi;3.2;2.9;3.2;3.5;3.1;3.1;2.9;2.6
Nissan;2.6;3.3;3.9;2.1;3.5;3.9;3.8;2.4
Opel_Corsa;2.2;2.4;3.0;2.6;3.2;4.0;2.9;2.4
Opel_Vectra;3.1;2.6;2.3;3.6;2.8;2.9;2.4;2.4
Peugeot;2.9;3.5;3.6;2.8;3.2;3.8;3.2;2.6
Renault;2.7;3.3;3.4;3.0;3.1;3.4;3.0;2.7
Rover;3.9;2.8;2.6;4.0;2.6;3.0;3.2;3.0
Toyota;2.5;2.9;3.4;3.0;3.2;3.1;3.2;2.8
Volvo;3.8;2.3;1.9;4.2;3.1;3.6;1.6;2.4
Trabant;3.6;4.7;5.5;1.5;4.1;5.8;5.9;3.1
VW_Golf;2.4;2.1;2.0;2.6;3.2;3.1;3.1;1.6
VW_Passat;3.1;2.2;2.1;3.2;3.5;3.5;2.8;1.8
Wartburg;3.7;4.7;5.5;1.7;4.8;5.2;5.5;4.0
